"Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"APM_Thompson",-0.859793807422818,0.355570632537637,-1.55669944115671,-0.162888173688924,0.0156031800414591,0.4775100826803,0.124874076398963,0.406156709372504
"Bcells_Danaher",-0.590196222446557,0.242655942952729,-1.06579313126851,-0.114599313624602,0.0150059771344613,0,0.873087520135521,0.406156709372504
"COX-IS_Bonavita",-0.280727549906194,0.127630698696359,-0.53087912267274,-0.030575977139647,0.0278402588326638,0,0.528589469306997,0.406156709372504
"IMPRES_Auslander",1.01384341635735,0.478844648537961,0.0753251510332021,1.95236168168149,0.0342369381684446,0,0.547700081182707,0.406156709372504
"IRG_Ayers",-0.350796015396893,0.169137972786907,-0.682300350477346,-0.0192916803164387,0.0380771915036722,0,0.439683917505878,0.406156709372504
"Macrophage_Danaher",-0.425173903568935,0.203879010376544,-0.824769421110629,-0.0255783860272403,0.037030953751742,0,0.720478970661585,0.406156709372504
"Macrophages_Rooney",-0.634066047313636,0.280573582329336,-1.18398016369252,-0.0841519309347533,0.0238279427824649,0,0.943357414516267,0.406156709372504
"MHC-I_Rooney",-0.407203482824079,0.195834931970035,-0.7910328964002,-0.0233740692479585,0.037587951773041,0,0.580172516025421,0.406156709372504
"PassON_Du",-1.57000602894607,0.633843944014709,-2.81231733103373,-0.327694726858422,0.0132506790384866,0,0.810343624164281,0.406156709372504
"ADO_Sidders",-0.664991630915066,0.368139649588174,-1.38653208538908,0.0565488235589496,0.0708625945454063,0,0.42939113549574,0.412821757141604
"APM_Wang",-0.689565163390197,0.378071372368324,-1.43057143681774,0.0514411100373493,0.0681668768013494,0.559597545068097,0.0781392880595031,0.412821757141604
"Base_excision_repair",-0.565506292732716,0.321582535145091,-1.19579647967418,0.0647838942087479,0.0786606717468975,0,0.97912780823654,0.412821757141604
"Bcells_Rooney",-0.454734069296332,0.237386608242054,-0.920003271862878,0.010535133270213,0.0554180244173173,0.127270729959174,0.328960129535263,0.412821757141604
"CCL5-CXCL9_Dangaj",-0.358012222631077,0.213978463961042,-0.777402305461922,0.0613778601997668,0.0943031461499154,0,0.777740823992769,0.412821757141604
"CD39-CD8Tcell_Chow",-0.392853503391634,0.226331148995299,-0.836454404001989,0.0507473972187205,0.082608664686396,0,0.479184347862881,0.412821757141604
"DC_Bindea",-0.438163996605145,0.254548651968086,-0.937070186775814,0.0607421935655253,0.0851897007345989,0,0.88850291999968,0.412821757141604
"DC_Danaher",-0.358624519899418,0.201833767758902,-0.754211435570888,0.036962395772051,0.0755960297805382,0,0.842675808570951,0.412821757141604
"EMT3",0.509291140138236,0.299162467360693,-0.0770565214148616,1.09563880169133,0.0886823163715009,0,0.541985300769192,0.412821757141604
"IFN_Ayers",-0.254069965514678,0.141593547957286,-0.531588219954204,0.0234482889248472,0.0727555391547325,0,0.537568314449217,0.412821757141604
"ImmunoScore_Hao",-0.531792344680882,0.304137057699322,-1.12789002413553,0.0643053347737704,0.0803725371424422,0,0.591768976701586,0.412821757141604
"MHC-II_Liu",-0.700289446880754,0.387856087686995,-1.46047340993187,0.0598945161703666,0.0709903162322583,0,0.941814360441278,0.412821757141604
